episode,winner,reward_0,reward_1,epsilon_0,epsilon_1
258,0,0.99,-1.01,0.2744,0.2744
259,1,-1.017,0.983,0.273,0.273
260,0,0.982,-1.018,0.2716,0.2716
261,0,0.98,-1.02,0.2703,0.2703
262,0,0.986,-1.014,0.2689,0.2689
263,0,0.986,-1.014,0.2676,0.2676
264,0,0.982,-1.018,0.2663,0.2663
265,0,0.982,-1.018,0.2649,0.2649
266,1,-1.023,0.977,0.2636,0.2636
267,1,-1.015,0.985,0.2623,0.2623
268,1,-1.025,0.975,0.261,0.261
269,1,-1.025,0.975,0.2597,0.2597
270,0,0.988,-1.012,0.2584,0.2584
271,0,0.982,-1.018,0.2571,0.2571
272,0,0.982,-1.018,0.2558,0.2558
273,0,0.982,-1.018,0.2545,0.2545
274,1,-1.023,0.977,0.2532,0.2532
275,1,-1.017,0.983,0.252,0.252
276,0,0.98,-1.02,0.2507,0.2507
277,0,0.988,-1.012,0.2495,0.2495
278,1,-1.009,0.991,0.2482,0.2482
279,1,-1.015,0.985,0.247,0.247
280,0,0.97,-1.03,0.2457,0.2457
281,0,0.994,-1.006,0.2445,0.2445
282,0,0.984,-1.016,0.2433,0.2433
283,1,-1.023,0.977,0.2421,0.2421
284,0,0.974,-1.026,0.2409,0.2409
285,1,-1.023,0.977,0.2397,0.2397
286,1,-1.023,0.977,0.2385,0.2385
287,1,-1.017,0.983,0.2373,0.2373
288,1,-1.023,0.977,0.2361,0.2361
289,1,-1.003,0.997,0.2349,0.2349
290,1,-1.005,0.995,0.2337,0.2337
291,1,-1.019,0.981,0.2326,0.2326
292,1,-1.003,0.997,0.2314,0.2314
293,0,0.982,-1.018,0.2302,0.2302
294,0,0.984,-1.016,0.2291,0.2291
295,1,-1.007,0.993,0.2279,0.2279
296,0,0.976,-1.024,0.2268,0.2268
297,1,-1.009,0.991,0.2257,0.2257
298,0,0.984,-1.016,0.2245,0.2245
299,0,0.982,-1.018,0.2234,0.2234
300,1,-1.019,0.981,0.2223,0.2223
301,0,0.984,-1.016,0.2212,0.2212
302,1,-1.017,0.983,0.2201,0.2201
303,1,-1.013,0.987,0.219,0.219
304,1,-1.015,0.985,0.2179,0.2179
305,1,-1.015,0.985,0.2168,0.2168
306,1,-1.017,0.983,0.2157,0.2157
307,0,0.976,-1.024,0.2146,0.2146
308,1,-1.011,0.989,0.2136,0.2136
309,1,-1.019,0.981,0.2125,0.2125
310,0,0.982,-1.018,0.2114,0.2114
311,0,0.982,-1.018,0.2104,0.2104
312,1,-1.019,0.981,0.2093,0.2093
313,1,-1.013,0.987,0.2083,0.2083
314,0,0.976,-1.024,0.2072,0.2072
315,1,-1.011,0.989,0.2062,0.2062
316,0,0.978,-1.022,0.2052,0.2052
317,1,-1.021,0.979,0.2041,0.2041
318,0,0.98,-1.02,0.2031,0.2031
319,0,0.982,-1.018,0.2021,0.2021
320,1,-1.019,0.981,0.2011,0.2011
321,1,-1.025,0.975,0.2001,0.2001
322,1,-1.019,0.981,0.1991,0.1991
323,1,-1.017,0.983,0.1981,0.1981
324,1,-1.019,0.981,0.1971,0.1971
325,0,0.976,-1.024,0.1961,0.1961
326,0,0.976,-1.024,0.1951,0.1951
327,0,0.986,-1.014,0.1942,0.1942
328,1,-1.023,0.977,0.1932,0.1932
329,1,-1.019,0.981,0.1922,0.1922
330,1,-1.021,0.979,0.1913,0.1913
331,1,-1.013,0.987,0.1903,0.1903
332,0,0.984,-1.016,0.1893,0.1893
333,1,-1.015,0.985,0.1884,0.1884
334,1,-1.019,0.981,0.1875,0.1875
335,0,0.982,-1.018,0.1865,0.1865
336,1,-1.015,0.985,0.1856,0.1856
337,0,0.984,-1.016,0.1847,0.1847
338,0,0.988,-1.012,0.1837,0.1837
339,0,0.978,-1.022,0.1828,0.1828
340,1,-1.019,0.981,0.1819,0.1819
341,0,0.984,-1.016,0.181,0.181
342,1,-1.019,0.981,0.1801,0.1801
343,0,0.986,-1.014,0.1792,0.1792
344,1,-1.011,0.989,0.1783,0.1783
345,1,-1.023,0.977,0.1774,0.1774
346,1,-1.025,0.975,0.1765,0.1765
347,0,0.978,-1.022,0.1756,0.1756
348,1,-1.011,0.989,0.1748,0.1748
349,1,-1.005,0.995,0.1739,0.1739
350,0,0.978,-1.022,0.173,0.173
351,1,-1.011,0.989,0.1721,0.1721
352,1,-1.011,0.989,0.1713,0.1713
353,1,-1.015,0.985,0.1704,0.1704
354,0,0.99,-1.01,0.1696,0.1696
355,1,-1.013,0.987,0.1687,0.1687
356,0,0.98,-1.02,0.1679,0.1679
357,1,-1.019,0.981,0.167,0.167
358,1,-1.013,0.987,0.1662,0.1662
359,1,-1.009,0.991,0.1654,0.1654
360,0,0.984,-1.016,0.1646,0.1646
361,1,-1.013,0.987,0.1637,0.1637
362,0,0.978,-1.022,0.1629,0.1629
363,1,-1.017,0.983,0.1621,0.1621
364,0,0.982,-1.018,0.1613,0.1613
365,1,-1.015,0.985,0.1605,0.1605
366,0,0.992,-1.008,0.1597,0.1597
367,1,-1.023,0.977,0.1589,0.1589
368,0,0.984,-1.016,0.1581,0.1581
369,0,0.982,-1.018,0.1573,0.1573
370,0,0.992,-1.008,0.1565,0.1565
371,1,-1.017,0.983,0.1557,0.1557
372,0,0.98,-1.02,0.1549,0.1549
373,1,-1.005,0.995,0.1542,0.1542
374,0,0.99,-1.01,0.1534,0.1534
375,0,0.982,-1.018,0.1526,0.1526
376,1,-1.009,0.991,0.1519,0.1519
377,0,0.978,-1.022,0.1511,0.1511
378,1,-1.019,0.981,0.1504,0.1504
379,1,-1.021,0.979,0.1496,0.1496
380,1,-1.011,0.989,0.1489,0.1489
381,1,-1.017,0.983,0.1481,0.1481
382,1,-1.019,0.981,0.1474,0.1474
383,0,0.984,-1.016,0.1466,0.1466
384,1,-1.017,0.983,0.1459,0.1459
385,1,-1.019,0.981,0.1452,0.1452
386,0,0.988,-1.012,0.1444,0.1444
387,1,-1.025,0.975,0.1437,0.1437
388,1,-1.017,0.983,0.143,0.143
389,0,0.984,-1.016,0.1423,0.1423
390,1,-1.013,0.987,0.1416,0.1416
391,1,-1.013,0.987,0.1409,0.1409
392,1,-1.019,0.981,0.1402,0.1402
393,1,-1.019,0.981,0.1395,0.1395
394,1,-1.021,0.979,0.1388,0.1388
395,1,-1.011,0.989,0.1381,0.1381
396,1,-1.021,0.979,0.1374,0.1374
397,1,-1.011,0.989,0.1367,0.1367
398,1,-1.023,0.977,0.136,0.136
399,0,0.982,-1.018,0.1353,0.1353
400,0,0.988,-1.012,0.1347,0.1347
401,0,0.98,-1.02,0.134,0.134
402,1,-1.021,0.979,0.1333,0.1333
403,1,-1.021,0.979,0.1326,0.1326
404,0,0.98,-1.02,0.132,0.132
405,1,-1.019,0.981,0.1313,0.1313
406,0,0.984,-1.016,0.1307,0.1307
407,0,0.982,-1.018,0.13,0.13
408,0,0.982,-1.018,0.1294,0.1294
409,1,-1.011,0.989,0.1287,0.1287
410,0,0.988,-1.012,0.1281,0.1281
411,0,0.976,-1.024,0.1274,0.1274
412,1,-1.017,0.983,0.1268,0.1268
413,0,0.98,-1.02,0.1262,0.1262
414,1,-1.019,0.981,0.1255,0.1255
415,0,0.978,-1.022,0.1249,0.1249
416,0,0.986,-1.014,0.1243,0.1243
