episode,winner,reward_0,reward_1,loss_0,loss_1,entropy_0,entropy_1
121,0,0.988,-0.012,2.17287,-1.351468,3.785153,3.097271
122,0,0.991,-0.009,1.544511,-1.267889,3.35992,3.729645
123,0,0.988,-0.012,1.438282,-1.079306,3.761613,3.091783
124,1,-0.009,0.992,-1.626814,2.130178,3.793886,4.307749
125,1,-0.01,0.991,-1.917895,2.130488,3.952694,3.763508
126,0,0.992,-0.008,1.942592,-1.147037,4.446773,3.234192
127,0,0.989,-0.011,1.186832,-1.221482,3.457277,3.266547
128,1,-0.01,0.991,-1.313372,1.955344,3.018418,4.103304
129,1,-0.007,0.994,-1.723968,2.467647,3.892168,4.372944
130,0,0.992,-0.008,1.710197,-1.375964,4.282369,4.083878
131,0,0.99,-0.01,1.313099,-1.227459,4.016936,3.490426
132,0,0.99,-0.01,1.569345,-1.594663,3.569366,3.565175
133,0,0.988,-0.012,0.569914,-0.857885,3.829837,2.96484
134,1,-0.009,0.992,-1.984792,2.667192,3.365381,4.403211
135,0,0.99,-0.01,0.498423,-1.090897,3.679367,3.709683
136,0,0.99,-0.01,0.617102,-1.127846,3.756119,3.246558
137,1,-0.012,0.989,-2.55422,2.796115,3.567205,3.590846
138,0,0.988,-0.012,0.174981,-0.703191,3.740303,3.5253
139,1,-0.012,0.989,-2.504537,2.487857,3.555614,3.544533
140,0,0.992,-0.008,0.854977,-1.00979,4.071436,4.497722
141,1,-0.014,0.987,-2.13904,1.957056,3.669166,3.342689
142,0,0.99,-0.01,1.271833,-0.818805,3.942671,2.725722
143,0,0.987,-0.013,0.653254,-1.094979,3.127669,3.439899
144,1,-0.01,0.991,-2.771711,2.970538,3.897037,3.893651
145,1,-0.012,0.989,-2.201255,2.614411,3.587587,4.056942
146,0,0.989,-0.011,1.227705,-1.156904,3.553837,3.45385
147,1,-0.013,0.988,-2.2795,2.098996,3.716083,3.539958
148,1,-0.012,0.989,-1.63713,1.865004,3.590482,3.653957
149,1,-0.013,0.988,-1.252005,1.507415,3.190771,3.517425
150,1,-0.009,0.992,-1.201041,1.298695,3.828933,4.185834
151,0,0.988,-0.012,2.281212,-2.48738,3.666974,3.888994
152,1,-0.014,0.987,-0.928748,0.510944,3.183844,3.388598
153,1,-0.014,0.987,-0.79263,0.111416,3.215288,3.016561
154,0,0.989,-0.011,2.371045,-1.942206,3.843272,3.204977
155,0,0.989,-0.011,2.55684,-3.019868,3.694271,4.041886
156,1,-0.012,0.989,-0.855193,0.648082,3.427235,3.846282
157,0,0.988,-0.012,1.789244,-1.716609,3.14881,3.274357
158,0,0.99,-0.01,1.95986,-1.626699,3.612115,3.442009
159,0,0.987,-0.013,1.861062,-1.608855,3.62825,3.452171
160,0,0.987,-0.013,0.960635,-1.063487,3.075916,3.281322
161,0,0.985,-0.015,0.728084,-1.094141,3.287187,3.56673
162,1,-0.01,0.991,-2.13283,2.737242,3.503808,3.662992
163,1,-0.012,0.989,-2.136756,2.237252,3.599952,3.37048
164,0,0.99,-0.01,0.373627,-0.803291,3.975649,3.801612
165,1,-0.014,0.987,-1.566903,1.574617,3.097031,2.612261
166,0,0.99,-0.01,1.080827,-1.111207,3.938121,4.012136
167,1,-0.005,0.996,-2.025926,2.759974,4.733634,4.871471
168,0,0.99,-0.01,1.651861,-1.189856,4.492851,3.944981
169,1,-0.012,0.989,-1.421274,1.981286,2.733662,3.481139
170,0,0.987,-0.013,1.099488,-1.010499,3.173537,2.975893
171,1,-0.009,0.992,-1.597883,2.122213,3.705815,3.984488
172,1,-0.01,0.991,-1.261732,1.558075,3.525193,3.604402
173,0,0.988,-0.012,1.514032,-1.260988,3.402989,2.637001
174,1,-0.01,0.991,-1.077499,1.285158,3.56529,4.185861
175,0,0.995,-0.005,2.675593,-1.333048,4.978621,2.617443
176,0,0.989,-0.011,1.914368,-1.07749,4.383388,2.83461
177,0,0.989,-0.011,1.426533,-1.516675,3.365699,3.382622
178,0,0.99,-0.01,0.835085,-1.158555,3.424262,3.878722
179,1,-0.012,0.989,-2.311892,2.265512,3.345572,3.694164
180,0,0.989,-0.011,0.264671,-1.039486,4.294622,3.751526
