episode,winner,reward_0,reward_1,epsilon_0,epsilon_1
207,0,0.988,-0.012,0.354305,0.354305
208,0,0.985,-0.015,0.352534,0.352534
209,1,-0.01,0.991,0.350771,0.350771
210,0,0.986,-0.014,0.349017,0.349017
211,0,0.987,-0.013,0.347272,0.347272
212,0,0.996,-0.004,0.345536,0.345536
213,1,-0.016,0.985,0.343808,0.343808
214,1,-0.011,0.99,0.342089,0.342089
215,1,-0.009,0.992,0.340379,0.340379
216,1,-0.016,0.985,0.338677,0.338677
217,0,0.988,-0.012,0.336983,0.336983
218,0,0.988,-0.012,0.335298,0.335298
219,1,-0.012,0.989,0.333622,0.333622
220,1,-0.016,0.985,0.331954,0.331954
221,1,-0.015,0.986,0.330294,0.330294
222,1,-0.016,0.985,0.328643,0.328643
223,1,-0.007,0.994,0.326999,0.326999
224,1,-0.017,0.984,0.325364,0.325364
225,1,-0.014,0.987,0.323738,0.323738
226,0,0.988,-0.012,0.322119,0.322119
227,1,-0.015,0.986,0.320508,0.320508
228,1,-0.015,0.986,0.318906,0.318906
229,0,0.986,-0.014,0.317311,0.317311
230,1,-0.014,0.987,0.315725,0.315725
231,1,-0.011,0.99,0.314146,0.314146
232,1,-0.015,0.986,0.312575,0.312575
233,0,0.986,-0.014,0.311012,0.311012
234,1,-0.01,0.991,0.309457,0.309457
235,1,-0.015,0.986,0.30791,0.30791
236,0,0.985,-0.015,0.306371,0.306371
237,1,-0.016,0.985,0.304839,0.304839
238,1,-0.008,0.993,0.303315,0.303315
239,0,0.995,-0.005,0.301798,0.301798
240,1,-0.012,0.989,0.300289,0.300289
241,0,0.984,-0.016,0.298788,0.298788
242,1,-0.015,0.986,0.297294,0.297294
243,0,0.984,-0.016,0.295807,0.295807
244,0,0.992,-0.008,0.294328,0.294328
245,0,0.985,-0.015,0.292856,0.292856
246,0,0.986,-0.014,0.291392,0.291392
247,0,0.984,-0.016,0.289935,0.289935
248,1,-0.009,0.992,0.288486,0.288486
249,1,-0.01,0.991,0.287043,0.287043
250,0,0.988,-0.012,0.285608,0.285608
251,0,0.987,-0.013,0.28418,0.28418
252,0,0.984,-0.016,0.282759,0.282759
253,1,-0.016,0.985,0.281345,0.281345
254,1,-0.015,0.986,0.279938,0.279938
255,0,0.989,-0.011,0.278539,0.278539
256,1,-0.016,0.985,0.277146,0.277146
257,1,-0.016,0.985,0.27576,0.27576
258,1,-0.006,0.995,0.274382,0.274382
259,1,-0.016,0.985,0.27301,0.27301
260,1,-0.011,0.99,0.271645,0.271645
261,0,0.988,-0.012,0.270286,0.270286
262,1,-0.012,0.989,0.268935,0.268935
263,0,0.993,-0.007,0.26759,0.26759
264,1,-0.01,0.991,0.266252,0.266252
265,1,-0.013,0.988,0.264921,0.264921
266,0,0.989,-0.011,0.263596,0.263596
267,1,-0.016,0.985,0.262278,0.262278
268,1,-0.011,0.99,0.260967,0.260967
269,1,-0.017,0.984,0.259662,0.259662
270,1,-0.015,0.986,0.258364,0.258364
271,1,-0.007,0.994,0.257072,0.257072
272,1,-0.01,0.991,0.255787,0.255787
273,1,-0.014,0.987,0.254508,0.254508
274,0,0.988,-0.012,0.253235,0.253235
275,1,-0.008,0.993,0.251969,0.251969
276,1,-0.006,0.995,0.250709,0.250709
277,1,-0.016,0.985,0.249456,0.249456
278,1,-0.011,0.99,0.248208,0.248208
279,1,-0.016,0.985,0.246967,0.246967
280,1,-0.014,0.987,0.245733,0.245733
281,1,-0.013,0.988,0.244504,0.244504
282,1,-0.016,0.985,0.243281,0.243281
283,1,-0.01,0.991,0.242065,0.242065
284,1,-0.015,0.986,0.240855,0.240855
285,1,-0.014,0.987,0.23965,0.23965
286,0,0.985,-0.015,0.238452,0.238452
287,0,0.989,-0.011,0.23726,0.23726
288,1,-0.016,0.985,0.236074,0.236074
289,0,0.999,-0.001,0.234893,0.234893
290,0,0.989,-0.011,0.233719,0.233719
291,1,-0.012,0.989,0.23255,0.23255
292,1,-0.009,0.992,0.231387,0.231387
293,0,0.988,-0.012,0.23023,0.23023
294,1,-0.009,0.992,0.229079,0.229079
295,1,-0.013,0.988,0.227934,0.227934
296,1,-0.014,0.987,0.226794,0.226794
297,1,-0.011,0.99,0.22566,0.22566
298,1,-0.014,0.987,0.224532,0.224532
299,0,0.984,-0.016,0.223409,0.223409
300,1,-0.013,0.988,0.222292,0.222292
301,1,-0.009,0.992,0.221181,0.221181
302,0,0.984,-0.016,0.220075,0.220075
303,1,-0.013,0.988,0.218974,0.218974
304,1,-0.016,0.985,0.21788,0.21788
305,1,-0.011,0.99,0.21679,0.21679
306,1,-0.01,0.991,0.215706,0.215706
307,1,-0.008,0.993,0.214628,0.214628
308,1,-0.012,0.989,0.213555,0.213555
309,0,0.993,-0.007,0.212487,0.212487
310,0,0.989,-0.011,0.211424,0.211424
311,0,0.984,-0.016,0.210367,0.210367
312,0,0.988,-0.012,0.209315,0.209315
313,1,-0.014,0.987,0.208269,0.208269
314,0,0.988,-0.012,0.207227,0.207227
315,0,0.99,-0.01,0.206191,0.206191
316,0,0.986,-0.014,0.20516,0.20516
317,0,0.986,-0.014,0.204135,0.204135
318,1,-0.012,0.989,0.203114,0.203114
319,0,0.985,-0.015,0.202098,0.202098
320,0,0.985,-0.015,0.201088,0.201088
321,0,0.99,-0.01,0.200082,0.200082
322,1,-0.01,0.991,0.199082,0.199082
323,1,-0.013,0.988,0.198087,0.198087
324,0,0.987,-0.013,0.197096,0.197096
325,0,0.988,-0.012,0.196111,0.196111
326,0,0.989,-0.011,0.19513,0.19513
327,1,-0.015,0.986,0.194154,0.194154
328,0,0.988,-0.012,0.193184,0.193184
329,0,0.986,-0.014,0.192218,0.192218
330,1,-0.014,0.987,0.191257,0.191257
331,0,0.988,-0.012,0.1903,0.1903
332,0,0.984,-0.016,0.189349,0.189349
333,0,0.985,-0.015,0.188402,0.188402
334,0,0.988,-0.012,0.18746,0.18746
335,1,-0.017,0.984,0.186523,0.186523
336,1,-0.012,0.989,0.18559,0.18559
337,1,-0.01,0.991,0.184662,0.184662
338,1,-0.011,0.99,0.183739,0.183739
339,1,-0.012,0.989,0.18282,0.18282
340,0,0.986,-0.014,0.181906,0.181906
341,1,-0.015,0.986,0.180997,0.180997
342,0,0.987,-0.013,0.180092,0.180092
343,0,0.988,-0.012,0.179191,0.179191
344,1,-0.011,0.99,0.178295,0.178295
345,1,-0.016,0.985,0.177404,0.177404
346,1,-0.016,0.985,0.176517,0.176517
347,0,0.989,-0.011,0.175634,0.175634
348,0,0.984,-0.016,0.174756,0.174756
349,1,-0.014,0.987,0.173882,0.173882
350,1,-0.013,0.988,0.173013,0.173013
351,0,0.989,-0.011,0.172148,0.172148
352,0,0.988,-0.012,0.171287,0.171287
353,1,-0.011,0.99,0.170431,0.170431
354,0,0.99,-0.01,0.169578,0.169578
355,0,0.984,-0.016,0.168731,0.168731
356,1,-0.01,0.991,0.167887,0.167887
357,0,0.988,-0.012,0.167047,0.167047
358,1,-0.016,0.985,0.166212,0.166212
359,0,0.985,-0.015,0.165381,0.165381
360,1,-0.012,0.989,0.164554,0.164554
361,1,-0.016,0.985,0.163731,0.163731
362,1,-0.01,0.991,0.162913,0.162913
363,0,0.986,-0.014,0.162098,0.162098
364,1,-0.016,0.985,0.161288,0.161288
365,1,-0.011,0.99,0.160481,0.160481
366,0,0.984,-0.016,0.159679,0.159679
367,0,0.986,-0.014,0.158881,0.158881
368,0,0.988,-0.012,0.158086,0.158086
369,0,0.989,-0.011,0.157296,0.157296
370,0,0.987,-0.013,0.156509,0.156509
371,1,-0.016,0.985,0.155727,0.155727
372,0,0.985,-0.015,0.154948,0.154948
373,0,0.984,-0.016,0.154173,0.154173
