episode,opponent,learner_won,winner,reward_learner,epsilon
269,self,0,0,-0.011,0.259662
270,frozen,1,0,0.986,0.258364
271,random,0,1,-0.009,0.257072
272,frozen,0,1,-0.014,0.255787
273,self,0,1,-0.017,0.254508
274,frozen,1,0,0.99,0.253235
275,heuristic,0,0,-0.007,0.251969
276,frozen,1,0,0.988,0.250709
277,frozen,0,0,-0.014,0.249456
278,self,1,1,0.985,0.248208
279,self,1,1,0.985,0.246967
280,heuristic,0,1,-0.004,0.245733
281,heuristic,0,0,-0.003,0.244504
282,random,0,0,-0.01,0.243281
283,frozen,0,0,-0.014,0.242065
284,frozen,1,0,0.984,0.240855
285,frozen,0,1,-0.01,0.23965
286,random,0,1,-0.011,0.238452
287,self,0,0,-0.016,0.23726
288,self,1,1,0.995,0.236074
289,minimax,0,0,-0.004,0.234893
290,minimax,0,0,-0.005,0.233719
291,frozen,0,0,-0.016,0.23255
292,random,1,1,0.987,0.231387
293,minimax,0,1,-0.002,0.23023
294,minimax,0,1,-0.002,0.229079
295,heuristic,0,1,-0.007,0.227934
296,heuristic,0,1,-0.007,0.226794
297,frozen,1,1,0.987,0.22566
298,minimax,0,0,-0.004,0.224532
299,self,0,0,-0.012,0.223409
300,frozen,1,0,0.992,0.222292
301,heuristic,0,0,-0.005,0.221181
302,frozen,1,1,0.989,0.220075
303,heuristic,1,0,0.995,0.218974
304,random,0,0,-0.011,0.21788
305,minimax,0,0,-0.01,0.21679
306,self,0,0,-0.015,0.215706
307,frozen,1,0,0.991,0.214628
308,frozen,0,0,-0.015,0.213555
309,heuristic,0,1,-0.004,0.212487
310,frozen,1,1,0.985,0.211424
311,self,1,0,0.986,0.210367
312,random,1,1,0.986,0.209315
313,frozen,0,1,-0.014,0.208269
314,minimax,0,1,-0.003,0.207227
315,heuristic,0,1,-0.005,0.206191
316,minimax,0,1,-0.002,0.20516
317,self,0,1,-0.014,0.204135
318,frozen,1,0,0.986,0.203114
319,frozen,1,1,0.989,0.202098
320,frozen,1,0,0.989,0.201088
321,random,0,0,-0.009,0.200082
322,self,1,1,0.988,0.199082
323,heuristic,0,0,-0.005,0.198087
324,minimax,0,0,-0.007,0.197096
325,heuristic,0,1,-0.007,0.196111
326,random,1,0,0.992,0.19513
327,frozen,0,1,-0.014,0.194154
328,self,1,0,0.991,0.193184
329,frozen,1,1,0.985,0.192218
330,minimax,0,1,-0.009,0.191257
331,frozen,1,1,0.996,0.1903
332,random,1,1,0.989,0.189349
333,frozen,0,0,-0.013,0.188402
334,random,1,0,0.987,0.18746
335,self,0,0,-0.009,0.186523
336,minimax,0,1,-0.008,0.18559
337,frozen,0,1,-0.013,0.184662
338,frozen,1,1,0.986,0.183739
339,self,0,1,-0.016,0.18282
340,frozen,1,0,0.99,0.181906
341,random,0,1,-0.004,0.180997
342,random,0,1,-0.011,0.180092
343,frozen,0,1,-0.014,0.179191
344,minimax,0,1,-0.001,0.178295
345,random,1,0,0.987,0.177404
346,frozen,1,1,0.988,0.176517
347,heuristic,0,0,-0.008,0.175634
348,minimax,0,1,-0.003,0.174756
349,minimax,0,1,-0.001,0.173882
350,self,1,0,0.986,0.173013
351,frozen,0,0,-0.014,0.172148
352,frozen,1,0,0.987,0.171287
353,random,0,1,-0.007,0.170431
354,minimax,0,1,-0.004,0.169578
355,frozen,0,0,-0.012,0.168731
356,self,1,1,0.995,0.167887
357,heuristic,0,0,-0.007,0.167047
358,heuristic,0,1,-0.006,0.166212
359,minimax,0,0,-0.007,0.165381
360,self,1,0,0.984,0.164554
361,self,1,1,0.986,0.163731
362,minimax,0,1,-0.007,0.162913
363,frozen,0,1,-0.016,0.162098
364,frozen,1,1,0.986,0.161288
365,minimax,0,0,-0.011,0.160481
366,self,1,1,0.985,0.159679
367,minimax,0,1,-0.01,0.158881
368,minimax,0,0,-0.007,0.158086
369,heuristic,0,1,-0.005,0.157296
370,heuristic,0,0,-0.005,0.156509
371,minimax,0,0,-0.002,0.155727
372,minimax,0,1,-0.011,0.154948
373,frozen,0,0,-0.01,0.154173
374,self,0,1,-0.013,0.153402
375,self,1,0,0.99,0.152635
376,minimax,0,1,-0.012,0.151872
377,frozen,1,0,0.985,0.151113
378,self,0,0,-0.016,0.150357
379,heuristic,0,0,-0.015,0.149606
380,frozen,0,1,-0.013,0.148857
381,frozen,0,1,-0.017,0.148113
382,self,1,1,0.993,0.147373
383,self,0,0,-0.013,0.146636
384,frozen,1,0,0.985,0.145903
385,frozen,1,1,0.986,0.145173
386,minimax,0,0,-0.008,0.144447
387,random,1,1,0.99,0.143725
388,random,1,1,0.99,0.143006
389,frozen,0,0,-0.008,0.142291
390,self,1,1,0.985,0.14158
391,self,1,1,0.984,0.140872
392,frozen,0,1,-0.014,0.140168
393,frozen,0,0,-0.007,0.139467
394,self,1,1,0.987,0.138769
395,frozen,1,0,0.988,0.138076
396,frozen,1,0,0.986,0.137385
397,heuristic,0,0,-0.004,0.136698
398,heuristic,0,0,-0.003,0.136015
399,self,1,1,0.99,0.135335
400,minimax,0,1,-0.005,0.134658
401,heuristic,0,0,-0.003,0.133985
402,heuristic,0,1,-0.005,0.133315
403,random,1,0,0.989,0.132648
404,minimax,0,0,-0.004,0.131985
405,frozen,1,0,0.996,0.131325
406,self,1,1,0.991,0.130668
407,minimax,0,0,-0.005,0.130015
408,self,1,0,0.985,0.129365
409,minimax,0,0,-0.008,0.128718
410,heuristic,0,0,-0.008,0.128075
411,self,0,1,-0.014,0.127434
412,frozen,1,1,0.986,0.126797
413,self,1,1,0.986,0.126163
414,frozen,1,0,0.987,0.125532
415,random,1,0,0.988,0.124905
416,frozen,0,1,-0.007,0.12428
417,self,0,0,-0.014,0.123659
418,frozen,0,1,-0.016,0.12304
419,frozen,0,1,-0.016,0.122425
420,heuristic,0,1,-0.006,0.121813
421,self,0,0,-0.006,0.121204
422,frozen,1,0,0.988,0.120598
423,self,0,0,-0.016,0.119995
424,minimax,0,1,-0.012,0.119395
425,random,1,1,0.991,0.118798
426,frozen,1,0,0.986,0.118204
427,minimax,0,1,-0.014,0.117613
428,random,0,0,-0.016,0.117025
429,self,0,0,-0.016,0.11644
430,frozen,1,0,0.989,0.115858
431,self,1,1,0.988,0.115278
432,frozen,1,0,0.987,0.114702
433,minimax,0,0,-0.003,0.114128
434,frozen,0,0,-0.012,0.113558
435,minimax,0,1,-0.01,0.11299
436,self,0,1,-0.017,0.112425
437,heuristic,0,1,-0.004,0.111863
438,frozen,1,0,0.985,0.111304
439,frozen,0,0,-0.012,0.110747
440,frozen,0,0,-0.016,0.110193
441,random,1,1,0.988,0.109642
442,self,0,1,-0.015,0.109094
443,frozen,1,1,0.986,0.108549
444,frozen,0,1,-0.014,0.108006
445,heuristic,0,0,-0.006,0.107466
446,minimax,0,0,-0.001,0.106929
447,frozen,1,1,0.985,0.106394
448,random,1,0,0.986,0.105862
449,self,1,0,0.984,0.105333
450,frozen,1,0,0.984,0.104806
451,random,1,1,0.987,0.104282
452,heuristic,0,1,-0.003,0.103761
453,heuristic,0,1,-0.003,0.103242
454,random,0,0,-0.012,0.102726
455,random,1,0,0.987,0.102212
456,minimax,0,1,-0.006,0.101701
457,random,1,0,0.991,0.101192
458,heuristic,0,1,-0.007,0.100686
459,minimax,0,0,-0.003,0.100183
460,random,0,0,-0.011,0.099682
461,heuristic,0,1,-0.004,0.099184
462,frozen,1,1,0.988,0.098688
463,frozen,1,1,0.993,0.098194
464,self,0,0,-0.015,0.097703
